requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,trend,cp_value,threshold
10600,605073H,2018-07-06 08:00:00,50840,2.0,0.8151716360042488,10,50911,16,0.0,0.07585818002124355,1.0,0.7410651236402261,0.049492563614543676
10576,605079H,2018-07-06 08:00:00,50841,2.0,0.8151716360042488,10,50911,19,0.0,0.07585818002124355,1.0,0.7410651236402261,0.23828093975508807
10595,604895H,2018-07-06 10:00:00,50268,1.0,0.5013024866346033,9,50911,17,0.18428992298659713,0.6818856773472595,0.7288559583062812,0.5013024866346033,0.1281923137264746
10591,520263,2018-07-06 14:00:00,51087,1.0,0.2500854676414597,9,50909,17,0.23890563412831786,0.7486285646993964,0.7101402542979809,0.2500854676414597,0.10255385098117968
10590,604760H,2018-07-06 08:00:00,50268,2.0,0.807465377468826,7,50240,17,0.0,0.03732688734412946,1.0,1.0093317218360325,0.3493592725732495
10587,605073H,2018-07-06 17:00:00,50911,1.0,-1.0,0,50911,17,0.0,0.0,0.0,0.0,0.0
10585,602821,2018-07-06 15:00:00,50338,2.0,0.24743139105645132,9,50349,18,0.11528995819581304,0.5528494481116525,0.7667450404470707,0.24743139105645132,0.17390328234757307
10582,603548,2018-07-06 17:00:00,50675,2.0,0.2775249102650588,9,50692,18,0.0,0.060086650174007626,1.0,0.2775249102650588,0.026558199920035174
10573,604620H,2018-07-06 20:00:00,50909,1.0,0.330160713107452,9,50349,19,0.15527741982346482,0.6355740097001205,0.7467556758905497,0.330160713107452,0.021037718360080514
10552,603522H,2018-07-06 08:00:00,50261,2.0,0.8151716360042488,10,50911,21,0.0,0.07585818002124355,1.0,0.7410651236402261,0.024169385834934654
10565,605079H,2018-07-06 17:00:00,51087,1.0,0.24589918075362208,9,50692,20,0.1383384781707055,0.6036844511343611,0.7492455310466333,0.24589918075362208,0.07015409705400066
10559,604903H,2018-07-06 08:00:00,50909,1.0,0.8151825688603458,10,50266,21,0.5571100355157079,0.9387417234418918,0.7842927802149593,0.7410750626003143,0.031589643161704116
10557,518009,2018-07-06 17:00:00,50267,2.0,0.3007637695861219,9,50911,21,0.20055488601501775,0.7041565085833541,0.7486062455682523,0.3007637695861219,0.03723425376408264
10551,604832H,2018-07-06 08:00:00,50267,1.0,0.778271770491024,7,50267,21,0.5742351033479035,0.8858618637426172,0.7513742471781256,0.97283971311378,0.0811413070822046
10549,607289,2018-07-06 08:00:00,51200,2.0,0.7528561996672575,10,50349,21,0.14535622525871264,0.6744766168883298,0.7724510953619893,0.684414726970234,0.034568399943655105
10535,518009,2018-07-06 17:00:00,50675,1.0,0.17724236137815466,9,50911,23,0.0,0.060086650174007626,1.0,0.17724236137815466,0.056578909187816225
10534,603912,2018-07-06 07:00:00,51200,2.0,0.3660937630286149,0,50911,23,0.0,0.0066928509242848554,1.0,3.6609376302861487,0.07238918129983099
10603,603990,2018-07-06 14:00:00,50261,1.0,0.2610312490332754,7,50911,16,0.18299667720405788,0.5631176977684649,0.7791744566994618,0.32628906129159424,0.05082937933289222
10568,603522H,2018-07-06 15:00:00,50230,3.0,0.2294716431436406,7,50911,20,0.20509392471858162,0.5975444648688915,0.7748746686668848,0.28683955392955074,0.029434393525042735
10604,603904,2018-07-06 15:00:00,50911,2.0,-1.0,0,50911,15,0.0,0.0,0.0,0.0,0.0
10687,607263,2018-07-06 13:00:00,50338,2.0,0.17099665286486235,0,50911,4,0.20091844662107058,0.20091844662107056,0.753296326575451,1.7099665286486234,0.22091595656801866
10610,600963,2018-07-06 09:00:00,50230,3.0,0.45869135766245844,10,50911,15,0.12632211917030506,0.6378681886171362,0.767228271371582,0.4169921433295076,0.042004577261906186
